symbol,depth,wave_start,wave_end,wave,resistance,support,previous_wave_start,previous_wave,wave_memo
AUDJPY,12,"2026-02-28 05:45:00","2026-03-02 07:00:00",-1,111.16800,109.67500,"2026-02-28 00:45:00",4,BSU_DW1
AUDJPY,12,"2026-02-28 00:45:00","2026-02-28 05:45:00",4,111.29800,110.64300,"2026-02-27 22:30:00",3,BS1_RV1
AUDJPY,12,"2026-02-27 22:30:00","2026-02-28 00:45:00",3,111.29800,110.64300,"2026-02-27 16:45:00",2,BSD_UP1
AUDJPY,12,"2026-02-27 16:45:00","2026-02-27 22:30:00",2,111.22700,110.64300,"2026-02-27 09:45:00",1,BR1_UP2
AUDJPY,12,"2026-02-27 09:45:00","2026-02-27 16:45:00",1,111.22700,110.50700,"2026-02-27 00:15:00",-4,BSD_UP1
AUDUSD,12,"2026-02-28 05:30:00","2026-03-02 07:00:00",-3,0.71220,0.70315,"2026-02-27 22:30:00",-2,BSU_DW1
AUDUSD,12,"2026-02-27 22:30:00","2026-02-28 05:30:00",-2,0.71321,0.70864,"2026-02-27 14:15:00",-1,BS1_DW2
AUDUSD,12,"2026-02-27 14:15:00","2026-02-27 22:30:00",-1,0.71321,0.70864,"2026-02-27 09:45:00",1,BSU_DW1
AUDUSD,12,"2026-02-27 09:45:00","2026-02-27 14:15:00",1,0.71321,0.70962,"2026-02-27 00:15:00",-6,BSD_UP1
AUDUSD,12,"2026-02-27 00:15:00","2026-02-27 09:45:00",-6,0.71242,0.70668,"2026-02-26 22:15:00",-5,BR1_RV1
CADJPY,12,"2026-02-27 20:15:00","2026-02-28 02:15:00",5,114.54200,113.99000,"2026-02-25 22:15:00",4,BSD_UP1
CADJPY,12,"2026-02-25 22:15:00","2026-02-27 20:15:00",4,114.50200,113.75000,"2026-02-25 15:00:00",3,BR1_UP2
CADJPY,12,"2026-02-25 15:00:00","2026-02-25 22:15:00",3,114.50200,113.70300,"2026-02-24 17:15:00",2,BSD_UP1
CADJPY,12,"2026-02-24 17:15:00","2026-02-25 15:00:00",2,114.04300,113.50300,"2026-02-24 07:15:00",1,BR1_UP2
CADJPY,12,"2026-02-24 07:15:00","2026-02-24 17:15:00",1,114.04300,112.80900,"2026-02-24 02:00:00",-6,BSD_UP1
CHFJPY,12,"2026-02-28 06:45:00","2026-03-02 09:00:00",3,203.65100,202.70500,"2026-02-28 00:30:00",2,BSD_UP1
CHFJPY,12,"2026-02-28 00:30:00","2026-02-28 06:45:00",2,203.38600,202.70500,"2026-02-27 20:30:00",1,BR1_UP2
CHFJPY,12,"2026-02-27 20:30:00","2026-02-28 00:30:00",1,203.38600,201.72500,"2026-02-26 20:30:00",-2,BSD_UP1
CHFJPY,12,"2026-02-26 20:30:00","2026-02-27 20:30:00",-2,202.23200,201.21200,"2026-02-26 16:15:00",-1,BR1_RV1
CHFJPY,12,"2026-02-26 16:15:00","2026-02-26 20:30:00",-1,202.23200,201.21200,"2026-02-26 00:15:00",8,BSU_DW1
EURGBP,12,"2026-02-27 18:45:00","2026-02-28 02:00:00",5,0.87892,0.87458,"2026-02-27 16:00:00",4,BSD_UP1
EURGBP,12,"2026-02-27 16:00:00","2026-02-27 18:45:00",4,0.87647,0.87458,"2026-02-27 07:00:00",3,BR1_UP2
EURGBP,12,"2026-02-27 07:00:00","2026-02-27 16:00:00",3,0.87647,0.87404,"2026-02-27 03:00:00",2,BSD_UP1
EURGBP,12,"2026-02-27 03:00:00","2026-02-27 07:00:00",2,0.87581,0.87404,"2026-02-26 20:15:00",1,BR1_UP2
EURGBP,12,"2026-02-26 20:15:00","2026-02-27 03:00:00",1,0.87581,0.87146,"2026-02-26 17:30:00",-1,BSD_UP1
EURJPY,12,"2026-02-28 05:45:00","2026-03-02 07:00:00",-1,184.54000,183.48700,"2026-02-28 02:00:00",4,BSU_DW1
EURJPY,12,"2026-02-28 02:00:00","2026-02-28 05:45:00",4,184.55200,183.93200,"2026-02-27 20:30:00",3,BS1_RV1
EURJPY,12,"2026-02-27 20:30:00","2026-02-28 02:00:00",3,184.55200,183.93200,"2026-02-27 17:00:00",2,BSD_UP1
EURJPY,12,"2026-02-27 17:00:00","2026-02-27 20:30:00",2,184.47100,183.93200,"2026-02-27 09:30:00",1,BR1_UP2
EURJPY,12,"2026-02-27 09:30:00","2026-02-27 17:00:00",1,184.47100,183.69100,"2026-02-27 03:45:00",-5,BSD_UP1
EURUSD,12,"2026-02-21 00:00:00","2026-02-23 08:45:00",1,1.18346,1.17551,"2026-02-19 23:15:00",-4,BSD_UP1
EURUSD,12,"2026-02-19 23:15:00","2026-02-21 00:00:00",-4,1.18074,1.17418,"2026-02-19 18:00:00",-3,BR1_RV1
EURUSD,12,"2026-02-19 18:00:00","2026-02-19 23:15:00",-3,1.18074,1.17418,"2026-02-19 07:00:00",-2,BSU_DW1
EURUSD,12,"2026-02-19 07:00:00","2026-02-19 18:00:00",-2,1.18074,1.17807,"2026-02-18 22:00:00",-1,BS1_DW2
EURUSD,12,"2026-02-18 22:00:00","2026-02-19 07:00:00",-1,1.18486,1.17807,"2026-02-18 08:00:00",2,BSU_DW1
GBPJPY,12,"2026-02-28 05:15:00","2026-03-02 07:00:00",-9,210.49000,209.19400,"2026-02-28 01:00:00",-8,BSU_DW1
GBPJPY,12,"2026-02-28 01:00:00","2026-02-28 05:15:00",-8,210.49000,209.78800,"2026-02-27 18:15:00",-7,BS1_DW2
GBPJPY,12,"2026-02-27 18:15:00","2026-02-28 01:00:00",-7,210.82800,209.78800,"2026-02-27 15:45:00",-6,BSU_DW1
GBPJPY,12,"2026-02-27 15:45:00","2026-02-27 18:15:00",-6,210.82800,209.92000,"2026-02-26 22:00:00",-5,BS1_DW2
GBPJPY,12,"2026-02-26 22:00:00","2026-02-27 15:45:00",-5,211.55900,209.92000,"2026-02-26 18:00:00",-4,BSU_DW1
GBPUSD,12,"2026-02-28 05:30:00","2026-03-02 07:00:00",-7,1.34906,1.34000,"2026-02-27 22:45:00",-6,BSU_DW1
GBPUSD,12,"2026-02-27 22:45:00","2026-02-28 05:30:00",-6,1.34906,1.34395,"2026-02-27 17:00:00",-5,BS1_DW2
GBPUSD,12,"2026-02-27 17:00:00","2026-02-27 22:45:00",-5,1.35077,1.34395,"2026-02-27 03:00:00",-4,BSU_DW1
GBPUSD,12,"2026-02-27 03:00:00","2026-02-27 17:00:00",-4,1.35077,1.34450,"2026-02-26 22:15:00",-3,BS1_DW2
GBPUSD,12,"2026-02-26 22:15:00","2026-02-27 03:00:00",-3,1.35565,1.34450,"2026-02-26 18:15:00",-2,BSU_DW1
NZDJPY,12,"2026-02-28 05:45:00","2026-03-02 07:00:00",-1,93.69300,92.76500,"2026-02-28 04:45:00",5,BSU_DW1
NZDJPY,12,"2026-02-28 04:45:00","2026-02-28 05:45:00",5,93.69300,93.48200,"2026-02-28 00:45:00",4,BS1_RV1x
NZDJPY,12,"2026-02-28 00:45:00","2026-02-28 04:45:00",4,93.68900,93.48200,"2026-02-27 21:45:00",3,BR1_UP2
NZDJPY,12,"2026-02-27 21:45:00","2026-02-28 00:45:00",3,93.68900,93.21800,"2026-02-27 18:15:00",2,BSD_UP1
NZDJPY,12,"2026-02-27 18:15:00","2026-02-27 21:45:00",2,93.54700,93.21800,"2026-02-27 09:45:00",1,BR1_UP2
NZDUSD,12,"2026-02-27 22:30:00","2026-02-28 01:15:00",1,0.60048,0.59704,"2026-02-27 02:45:00",-4,BSD_UP1
NZDUSD,12,"2026-02-27 02:45:00","2026-02-27 22:30:00",-4,0.59954,0.59572,"2026-02-26 22:15:00",-3,BR1_RV1
NZDUSD,12,"2026-02-26 22:15:00","2026-02-27 02:45:00",-3,0.59954,0.59572,"2026-02-26 21:00:00",-2,BSU_DW1
NZDUSD,12,"2026-02-26 21:00:00","2026-02-26 22:15:00",-2,0.59954,0.59809,"2026-02-26 14:45:00",-1,BS1_DW2
NZDUSD,12,"2026-02-26 14:45:00","2026-02-26 21:00:00",-1,0.60120,0.59809,"2026-02-26 11:00:00",8,BSU_DW1
USDCAD,12,"2026-02-27 22:30:00","2026-02-28 02:00:00",-1,1.36845,1.36249,"2026-02-27 00:15:00",2,BSU_DW1
USDCAD,12,"2026-02-27 00:15:00","2026-02-27 22:30:00",2,1.37124,1.36592,"2026-02-26 15:45:00",1,BS1_RV1
USDCAD,12,"2026-02-26 15:45:00","2026-02-27 00:15:00",1,1.37124,1.36592,"2026-02-26 11:00:00",-2,BSD_UP1
USDCAD,12,"2026-02-26 11:00:00","2026-02-26 15:45:00",-2,1.37067,1.36589,"2026-02-25 20:45:00",-1,BR1_RV1
USDCAD,12,"2026-02-25 20:45:00","2026-02-26 11:00:00",-1,1.37067,1.36589,"2026-02-25 16:00:00",1,BSU_DW1
USDCHF,12,"2026-02-28 06:45:00","2026-03-02 07:00:00",-5,0.76959,0.76680,"2026-02-28 00:30:00",-4,BR1_RV1x
USDCHF,12,"2026-02-28 00:30:00","2026-02-28 06:45:00",-4,0.76959,0.76712,"2026-02-27 16:15:00",-3,BS1_DW2
USDCHF,12,"2026-02-27 16:15:00","2026-02-28 00:30:00",-3,0.77374,0.76712,"2026-02-23 11:00:00",-2,BSU_DW1
USDCHF,12,"2026-02-23 11:00:00","2026-02-27 16:15:00",-2,0.77681,0.77101,"2026-02-21 00:00:00",-1,BS1_DW2
USDCHF,12,"2026-02-21 00:00:00","2026-02-23 11:00:00",-1,0.77718,0.77101,"2026-02-20 23:30:00",1,BSU_DW1
USDJPY,12,"2026-02-25 15:15:00","2026-02-25 20:45:00",3,156.82300,155.52500,"2026-02-24 17:15:00",2,BSD_UP1
USDJPY,12,"2026-02-24 17:15:00","2026-02-25 15:15:00",2,156.27900,155.34500,"2026-02-24 16:00:00",1,BR1_UP2
USDJPY,12,"2026-02-24 16:00:00","2026-02-24 17:15:00",1,156.27900,154.94300,"2026-02-23 10:00:00",-2,BSD_UP1
USDJPY,12,"2026-02-23 10:00:00","2026-02-24 16:00:00",-2,155.53700,153.99400,"2026-02-20 23:00:00",-1,BR1_RV1
USDJPY,12,"2026-02-20 23:00:00","2026-02-23 10:00:00",-1,155.53700,153.99400,"2026-02-20 18:00:00",4,BSU_DW1
